post_link,post_date,Likes_count,Comments_count
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6561822881423118336,2019-07-30 04:21:27,194,10 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6560762054196715520,2019-07-27 06:06:06,199,3 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6560472596205404160,2019-07-26 10:55:54,303,45 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6559306564489052160,2019-07-23 05:42:30,157,6 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6558601894057603072,2019-07-21 07:02:24,184,4 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6557125058970644480,2019-07-17 05:13:59,989,"2,101 Comments"
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6556781134624194560,2019-07-16 06:27:21,283,9 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6556363817675264000,2019-07-15 02:49:05,225,18 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6555386001202741248,2019-07-12 10:03:35,168,3 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6555299127503220736,2019-07-12 04:18:23,157,12 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6554222530041876480,2019-07-09 05:00:22,170,15 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6553842331328573440,2019-07-08 03:49:36,143,9 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6553842331328573440,2019-07-08 03:49:36,143,9 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6553842331328573440,2019-07-08 03:49:36,143,9 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6553842331328573440,2019-07-08 03:49:36,143,9 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6553466504883605504,2019-07-07 02:56:12,211,6 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6552411042381697024,2019-07-04 05:02:10,151,19 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6551325206839943168,2019-07-01 05:07:27,109,7 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6549872035160522752,2019-06-27 04:53:03,151,12 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6549168346590433280,2019-06-25 06:16:51,200,49 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6548802243649388544,2019-06-24 06:02:05,104,0 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6547834462233821184,2019-06-21 13:56:28,73,6 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6547341269402775553,2019-06-20 05:16:42,168,248 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6546951311047389184,2019-06-19 03:27:09,140,12 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6546611976464855041,2019-06-18 04:58:45,265,202 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6546017160467144704,2019-06-16 13:35:10,"1,234","2,893 Comments"
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6545106052835303424,2019-06-14 01:14:45,1,0 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6544087399163625472,2019-06-11 05:46:59,667,219 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6543694194316275712,2019-06-10 03:44:31,9,0 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6543377125582434304,2019-06-09 06:44:36,91,8 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6543054593595670528,2019-06-08 09:22:59,48,4 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6542925058057306112,2019-06-08 00:48:15,13,1 Comment
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6542603152754077696,2019-06-07 03:29:07,46,3 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6542247503272701952,2019-06-06 03:55:53,51,4 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6541174050352402432,2019-06-03 04:50:22,26,0 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6540771882424205312,2019-06-02 02:12:18,27,0 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6539707983746695168,2019-05-30 03:44:45,139,90 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6539066562970771457,2019-05-28 09:15:58,41,18 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6538659158697312257,2019-05-27 06:17:05,10,0 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6537555366794891264,2019-05-24 05:11:01,20,1 Comment
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6537214972827664384,2019-05-23 06:38:25,22,3 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6536927863000657920,2019-05-22 11:37:32,21,4 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6534099446345629696,2019-05-14 16:18:25,0,0 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6533636855118815232,2019-05-13 09:40:15,88,6 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A10446044-6533261406140231680,2019-05-12 08:48:21,0,0 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6532104306399772672,2019-05-09 04:10:27,28,0 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A10446044-6532093482834726912,2019-05-09 03:27:26,0,0 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A10446044-6531760989942181888,2019-05-08 05:26:14,0,0 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6531722404333490177,2019-05-08 02:52:54,158,9 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6531416861303762944,2019-05-07 06:38:47,42,6 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6531055671079694336,2019-05-06 06:43:33,54,0 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6530316521942675456,2019-05-04 05:46:26,187,17 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6529914456175149056,2019-05-03 03:08:46,118,19 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6529557203651788800,2019-05-02 03:29:10,59,9 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6527037964579639296,2019-04-25 04:38:37,79,18 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A10446044-6527030566108401664,2019-04-25 04:09:13,0,0 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6526787121175461888,2019-04-24 12:01:51,58,8 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6526787121175461888,2019-04-24 12:01:51,58,8 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6526787121175461888,2019-04-24 12:01:51,58,8 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6526787121175461888,2019-04-24 12:01:51,58,8 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6526024326788026368,2019-04-22 09:30:47,47,5 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6524515731323789313,2019-04-18 05:36:09,68,4 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6524090932671938560,2019-04-17 01:28:10,68,8 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6523863760841609216,2019-04-16 10:25:28,21,2 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6523764072603807744,2019-04-16 03:49:20,120,23 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6523387365103370240,2019-04-15 02:52:26,100,7 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6522275133405655040,2019-04-12 01:12:49,7,0 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6522004995519410176,2019-04-11 07:19:23,99,0 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6521740965705805824,2019-04-10 13:50:14,74,4 Comments
https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6521290707548897280,2019-04-09 08:01:04,5,1 Comment
