Date,ShareLink,ShareCommentary,SharedURL,MediaURL,Visibility
02-06-2019 02:12,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6540771882424205312,"*** NOT A DATA SCIENCE POST  *** ""
""""
""Sunday is the time for your passions.""
""""
""Mine is writing. No matter how stressed I am, writing helped me stay relaxed. ""
""""
""A snippet from my work and upcoming book !!""
""""
""PS : Some people commented that this is LinkedIn and not Facebook. For them :  please understand your profession is not the only profession on LinkedIn. ""
""""
""Writing fiction is a widely recognized profession too. I aspire to be a fiction writer. I hope you encourage my aspirations like I always encouraged your data science journey !!""
""""
""",,,MEMBER_NETWORK
30-05-2019 03:44,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6539707983746695168,"Learning new skills is a challenge, especially in this distracted world. ""
""""
""Focused work has been my Savior. ""
""""
""I learnt about #deepwork by Cal New Port and worked on implementing 'rules of focused work' for a year and results are tremendous. ""
""""
""A few results of mine""
""""
""	1. Time spent on Mobile reduced by 70% , and on email reduced by 60% ""
""	2. A sharp surge in creativity and suddenly had a lot of time for my passions. ""
""	3. Overcoming addictions including my favorite LinkedIn ""
""""
""""
""Now I am planning to level up the game by starting a like minded group to practice #deepwork intensively. ""
""""
""As a group, we are more accountable, its more motivating to see our peers accomplish small things. ""
""""
""Comment if you are interested in implementing this 'life changing book's principles' in your life. !! ",,,MEMBER_NETWORK
28-05-2019 09:15,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6539066562970771457,"""
""Trying to succeed in this distracted world without focus is like cutting wood with a blunt saw. ""
""""
""#focus #deepwork #attentionresidue""
""""
""Any folks interested in collaborative #deepwork implementation day-to-day life ?",,,MEMBER_NETWORK
27-05-2019 06:17,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6538659158697312257,"Folks ,""
""   The recording for churn prediction is now available.  Please find it here- https://lnkd.in/fNwN4b7",,,MEMBER_NETWORK
24-05-2019 05:11,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6537555366794891264,"What do you call a person who made every political party look at denominator and numerator again and again ?? ""
""""
""""
""Ha ha.. ""
""""
""Divider in Chief !!!""
""""
""""
""D stands for Democracy. Not Dynasty !!",,,MEMBER_NETWORK
23-05-2019 06:38,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6537214972827664384,"A political party is definitely gonna lose today !! ""
""""
""Having seen first hand the wide use of Data Analytics in Political world, I can say that its the best time to pitch churn prediction models to political parties. ""
""""
""Learn how to model Churn from the EdisonX Academy webinar today at 3:00 PM IST today by me.""
""""
""Link in first comment.",,,MEMBER_NETWORK
22-05-2019 11:37,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6536927863000657920,"I worked on a Churn data set of a popular music streaming app. While the usual churn rate is 4% , I narrowed down to a specific point where churn was 80%. ""
""""
""That single insight helped me improve accuracy tremendously ""
""""
""Wanna know more ?? ""
""Join my webinar with EdisonX Academy here :  https://bit.ly/2HKBwGK""
""""
""Deepak Murugaian",https://www.edisonxacademy.com/tetalk/churn-prediction-for-subscription-based-streaming-services--tet8,https://webiste-images.s3.ap-southeast-1.amazonaws.com/webinar/_large_2019-05-08%2010%3A26%3A03.jpg,MEMBER_NETWORK
14-05-2019 16:18,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6534099446345629696,,,,MEMBER_NETWORK
13-05-2019 09:40,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6533636855118815232,"10,062 likes and about ~ 1 Million views. ""
""This is my Linkedin performance :)""
""""
""On a boring Sunday , I decided to create my own metric and this is the result.""
""""
""Likes on the posts which I have created. Lessons learnt ""
""""
""1. Deep work is worth even if you don't have likes on Li. ""
""2. 470 Likes in the month I started - never easy to have such a start.""
""3. Outliers and mood swings are common for everyone including me""
""""
""Ashi Singhal""
""Sachin Tripathi""
""Venkatesh Gupta""
""Amit Choudhary",,,MEMBER_NETWORK
12-05-2019 08:48,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A10446044-6533261406140231680,"Ashi Singhal""
""Bored on Sunday.. Downloaded data and scrapped likes and built a chart to see my performance. ""
""""
""When there are no metrics, you create metrics..""
""""
""You can relate greatly..",,,MEMBER_NETWORK
09-05-2019 04:10,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6532104306399772672,"Diversity in knowledge happens to be my first crush and depth of domain seems like my first love. ""
""""
""My love hasn't yet married me while my crush doesn't stop wooing me and I just keep swinging like a pendulum covering both breadth and depth 🙂""
""""
""PS : Some one said I am running out of topics to post on data science. So, time to display some diversity.""
""""
""#deepwork #GTD ",,,MEMBER_NETWORK
09-05-2019 03:27,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A10446044-6532093482834726912,"Guys, ""
""  What time do you post on Linkedin ? Being a data scientist, I can definitely tell reach of the post depends on time and day you post it""
""  I noticed my weekday posts gain more reach and some times posts at evening 5 PM gain more reach""
""  Any observations Ashi Singhal and others ?",,,MEMBER_NETWORK
